firstName,lastName,phone,email,companyName,address1,city,state,postalCode,website,tags,source,customField.lead_score,customField.vertical,customField.review_count,customField.rating,customField.score_reasons,customField.google_maps_url
Mc,Cammon Gordon F DDS,(615) 876-0084,,Mc Cammon Gordon F DDS,"3515 Old Clarksville Pike, Joelton, TN 37080",Joelton,Tennessee,37080,,"lead-gen,dentist,score-100",apify-lead-gen,100,dentist,6,3.3,No website — needs full digital presence; Low reviews (6) — needs review automation; GBP unclaimed — huge opportunity; High-value vertical (dentist): +8,https://www.google.com/maps/search/?api=1&query=Mc%20Cammon%20Gordon%20F%20DDS&query_place_id=ChIJHTRydNRYZIgR0KEH4wK6Tt4
Dr.,Robert Wingo,(615) 876-2325,,Dr. Robert Wingo,"3353B Union Hill Rd, Joelton, TN 37080",Joelton,Tennessee,37080,,"lead-gen,dentist,score-100",apify-lead-gen,100,dentist,,,No website — needs full digital presence; Zero reviews — needs reputation management; GBP unclaimed — huge opportunity; High-value vertical (dentist): +8,https://www.google.com/maps/search/?api=1&query=Dr.%20Robert%20Wingo&query_place_id=ChIJbxIO9dZYZIgRHpzXRCRcys0
Thompson,Jamie,(615) 876-0084,,Thompson Jamie,"3515 Old Clarksville Pike, Joelton, TN 37080",Joelton,Tennessee,37080,,"lead-gen,dentist,score-100",apify-lead-gen,100,dentist,,,No website — needs full digital presence; Zero reviews — needs reputation management; GBP unclaimed — huge opportunity; High-value vertical (dentist): +8,https://www.google.com/maps/search/?api=1&query=Thompson%20Jamie&query_place_id=ChIJHTRydNRYZIgRCmZb5IpsnjE
Acme,Care Dental Center,(615) 226-7516,,Acme Care Dental Center,"3067 Brick Church Pike, Nashville, TN 37207",Nashville,Tennessee,37207,,"lead-gen,dentist,score-100",apify-lead-gen,100,dentist,38,4.3,No website — needs full digital presence; Growing business (38 reviews) — prime for automation; GBP unclaimed — huge opportunity; High-value vertical (dentist): +8,https://www.google.com/maps/search/?api=1&query=Acme%20Care%20Dental%20Center&query_place_id=ChIJQWfw0HddZIgRjvPP8sLr71o
Salmon,and Sons,(615) 586-3157,,Salmon and Sons,"1306 McChesney Ave, Nashville, TN 37216",Nashville,Tennessee,37216,,"lead-gen,HVAC contractor,score-100",apify-lead-gen,100,HVAC contractor,36,4.5,No website — needs full digital presence; Growing business (36 reviews) — prime for automation; High rating (4.5) but few reviews — quality business under-marketed,https://www.google.com/maps/search/?api=1&query=Salmon%20and%20Sons&query_place_id=ChIJja4_369pZIgRKxsw83kHLpA
Sunnyside,Plumbing,(615) 965-3170,,Sunnyside Plumbing,,,,,,"lead-gen,plumber,score-100",apify-lead-gen,100,plumber,48,5,No website — needs full digital presence; Growing business (48 reviews) — prime for automation; High rating (5) but few reviews — quality business under-marketed,https://www.google.com/maps/search/?api=1&query=Sunnyside%20Plumbing&query_place_id=ChIJXbQX79uECgURLHAdL8WaWxw
Schmidt,Plumbing Services Inc,(615) 876-2266,,Schmidt Plumbing Services Inc,"6401 Old Clarksville Pike, Joelton, TN 37080",Joelton,Tennessee,37080,,"lead-gen,plumber,score-100",apify-lead-gen,100,plumber,19,4.2,No website — needs full digital presence; Low reviews (19) — needs review automation; GBP unclaimed — huge opportunity,https://www.google.com/maps/search/?api=1&query=Schmidt%20Plumbing%20Services%20Inc&query_place_id=ChIJrU_jz6hYZIgRyKd8LAjrW7s
Meeks,Siding & Window Crftsmn,(615) 876-2126,,Meeks Siding & Window Crftsmn,"6180 Eatons Creek Rd, Joelton, TN 37080",Joelton,Tennessee,37080,,"lead-gen,plumber,score-100",apify-lead-gen,100,plumber,1,5,No website — needs full digital presence; Low reviews (1) — needs review automation; High rating (5) but few reviews — quality business under-marketed; GBP unclaimed — huge opportunity,https://www.google.com/maps/search/?api=1&query=Meeks%20Siding%20%26%20Window%20Crftsmn&query_place_id=ChIJj82DzMxYZIgRKfjMeyeX_7A
Hewitt,Plumbing LLC,(629) 237-0034,,Hewitt Plumbing LLC,,,,,,"lead-gen,plumber,score-100",apify-lead-gen,100,plumber,30,5,No website — needs full digital presence; Growing business (30 reviews) — prime for automation; High rating (5) but few reviews — quality business under-marketed,https://www.google.com/maps/search/?api=1&query=Hewitt%20Plumbing%20LLC&query_place_id=ChIJSfZilSXLEUYRi79kq7XqdsY
Republic,Plumbing Heating Clng,(615) 865-3005,,Republic Plumbing Heating Clng,"401 Douglas St, Madison, TN 37115",Madison,Tennessee,37115,,"lead-gen,plumber,score-100",apify-lead-gen,100,plumber,16,4.4,No website — needs full digital presence; Low reviews (16) — needs review automation; GBP unclaimed — huge opportunity,https://www.google.com/maps/search/?api=1&query=Republic%20Plumbing%20Heating%20Clng&query_place_id=ChIJyZKqMOJCZIgRp8mvhiUfT3o
